Job_Title,Industry,Job_Status,AI_Impact_Level,Median_Salary_USD,Required_Education,Experience_Required_Years,Remote_Work_Ratio_%,Automation_Risk_%,Location,Gender_Diversity_%,Job_Growth_Rate_%
company secretary,education,increasing,low,65679.61,high school,15.0,34.54,78.93,germany,21.75,33.07779030439684
analytical chemist,entertainment,decreasing,low,93066.76,high school,19.0,71.69,21.88,germany,48.07,-69.58981612446959
publishing copy,entertainment,increasing,moderate,74244.6,master's degree,14.0,8.37,39.25,australia,27.01,2.351345240786796
advice worker,manufacturing,increasing,high,99735.31,associate degree,17.0,91.06,97.09,brazil,67.29,-61.21853338197738
"librarian, public",it,increasing,moderate,56958.84,bachelor's degree,8.0,61.73,7.73,china,68.58,39.97847726661286
"therapist, speech and language",manufacturing,increasing,moderate,99273.53,bachelor's degree,7.0,76.77,60.75,india,56.36,121.10642079537881
legal secretary,entertainment,increasing,low,122877.63,bachelor's degree,16.0,6.61,31.51,germany,69.03,-80.46526975746576
health visitor,education,decreasing,low,61192.48,phd,9.0,35.48,18.85,usa,79.8,63.50546176762661
"research officer, government",finance,increasing,moderate,33473.61,high school,15.0,7.59,72.9,china,27.5,-59.146865158889206
sports therapist,retail,increasing,moderate,49630.62,phd,14.0,26.29,41.23,australia,47.38,27.33050847457627
corporate treasurer,transportation,decreasing,low,72368.09,associate degree,4.0,52.32,90.38,brazil,39.42,-26.187811577983517
fine artist,healthcare,increasing,low,65943.97,phd,10.0,33.09,8.94,canada,21.31,-20.641158221302998
environmental education officer,finance,decreasing,moderate,142088.16,high school,15.0,25.67,71.04,usa,51.06,-87.98635870407688
public house manager,manufacturing,decreasing,high,44753.9,high school,7.0,85.13,51.33,canada,35.51,-37.615703798276414
brewing technologist,transportation,increasing,high,147128.77,master's degree,19.0,78.91,18.3,brazil,27.26,19.757236227824464
management consultant,retail,decreasing,high,38640.05,master's degree,6.0,58.02,53.15,uk,46.26,-42.06592819965301
"accountant, chartered management",it,increasing,low,99066.06,associate degree,15.0,62.79,55.61,canada,72.96,-53.526148969889064
operational researcher,finance,decreasing,high,144849.95,master's degree,17.0,17.13,80.7,canada,33.75,-63.52077598636781
ship broker,education,increasing,high,108411.39,high school,20.0,3.76,1.14,usa,67.11,81.0030395136778
health visitor,it,increasing,low,77614.92,high school,14.0,18.59,77.13,canada,47.69,597.3011363636364
software engineer,education,increasing,low,63008.76,phd,18.0,67.71,5.52,brazil,67.74,-63.73683526199454
broadcast engineer,healthcare,decreasing,low,51483.65,associate degree,7.0,54.6,42.44,australia,69.96,-20.148439205413666
financial manager,entertainment,decreasing,high,53316.7,phd,10.0,89.49,4.75,brazil,60.18,14.894233555491162
haematologist,education,decreasing,moderate,80056.81,phd,14.0,28.27,29.61,brazil,34.52,-58.0945631264554
osteopath,finance,decreasing,low,135083.46,phd,3.0,27.48,81.35,brazil,61.06,18.64314789687924
recycling officer,manufacturing,decreasing,moderate,56345.32,bachelor's degree,11.0,88.52,10.78,australia,31.99,-45.75928917609047
radio broadcast assistant,it,increasing,high,34035.7,phd,1.0,95.11,75.46,australia,56.4,-55.34084809447128
further education lecturer,it,increasing,moderate,51015.76,master's degree,20.0,1.57,34.53,australia,71.79,-19.567499475120723
"programmer, multimedia",entertainment,decreasing,high,89390.44,associate degree,5.0,78.24,44.21,uk,69.72,-68.94000538068335
"engineer, water",entertainment,decreasing,high,56280.0,bachelor's degree,17.0,48.66,28.1,brazil,77.7,-66.67367535744323
"engineer, communications",retail,decreasing,high,132535.74,master's degree,4.0,91.05,63.48,canada,22.65,9.127159946832078
"geologist, wellsite",transportation,decreasing,moderate,145080.33,high school,14.0,11.33,81.61,india,42.39,-57.67547169811321
warehouse manager,healthcare,decreasing,low,73272.3,high school,5.0,79.95,83.91,australia,36.78,-3.3652007648183555
radiation protection practitioner,it,decreasing,high,102583.64,associate degree,1.0,33.06,33.32,uk,39.77,-62.39973262032086
"lecturer, further education",manufacturing,increasing,low,37784.75,high school,13.0,93.72,20.86,australia,69.12,-1.6134751773049645
"surveyor, hydrographic",education,decreasing,low,35337.01,bachelor's degree,10.0,40.31,42.08,usa,44.07,-71.29511677282377
systems analyst,it,decreasing,moderate,141560.95,associate degree,13.0,35.0,69.68,canada,39.1,340.9726848767488
ambulance person,entertainment,increasing,high,67883.85,associate degree,12.0,6.65,96.79,china,23.07,43.40909090909091
energy manager,transportation,decreasing,low,78163.1,high school,0.0,10.38,7.22,brazil,53.99,-42.1164139161463
hydrogeologist,transportation,decreasing,moderate,136572.76,associate degree,9.0,95.26,2.92,canada,71.56,-38.02905874921036
site engineer,retail,increasing,high,87516.48,associate degree,13.0,23.83,59.6,australia,32.84,214.57017969888295
further education lecturer,entertainment,decreasing,moderate,79852.28,master's degree,20.0,87.0,64.04,australia,34.56,-5.765969474279254
"physicist, medical",manufacturing,increasing,high,101909.17,high school,2.0,20.91,32.46,brazil,68.01,21.084939329050677
"lighting technician, broadcasting/film/video",education,increasing,high,146255.99,phd,12.0,81.98,52.12,uk,59.96,43.04778303917348
event organiser,entertainment,decreasing,moderate,66802.82,master's degree,6.0,64.25,69.67,uk,40.96,326.7337807606264
database administrator,education,increasing,high,71618.01,high school,13.0,21.91,34.81,uk,30.08,-3.076454462381968
paramedic,transportation,decreasing,low,61744.36,associate degree,8.0,30.21,47.31,brazil,50.49,58.697846567967694
technical brewer,education,decreasing,high,72637.78,associate degree,14.0,15.85,88.03,brazil,29.12,-66.85866194062915
microbiologist,it,decreasing,low,41680.6,bachelor's degree,10.0,23.48,69.36,uk,63.5,576.6447368421052
"education officer, museum",retail,increasing,moderate,127017.38,bachelor's degree,15.0,94.89,34.32,australia,48.07,-64.44229529335912
farm manager,finance,decreasing,moderate,84890.22,high school,3.0,26.84,41.23,india,29.89,703.6534446764092
emergency planning/management officer,manufacturing,decreasing,low,37503.89,bachelor's degree,8.0,56.71,24.4,uk,30.69,-20.60720042987641
environmental consultant,manufacturing,decreasing,low,149160.49,high school,1.0,30.81,6.22,canada,25.57,121.21776949363156
electronics engineer,retail,decreasing,high,147909.27,master's degree,15.0,60.15,77.59,canada,44.01,-22.85601109130521
aeronautical engineer,healthcare,increasing,high,106546.36,phd,12.0,97.51,55.12,india,37.9,-16.74818687805701
armed forces operational officer,it,increasing,low,81194.73,high school,8.0,94.3,41.68,brazil,59.82,72.95980511571256
aid worker,retail,decreasing,high,96370.15,bachelor's degree,5.0,84.92,56.99,canada,53.71,-37.84487246225924
"engineer, energy",finance,increasing,high,145665.72,phd,4.0,76.41,99.14,uk,48.6,2.906596995427825
"engineer, chemical",it,decreasing,moderate,145946.42,master's degree,12.0,68.55,33.88,india,35.49,81.5121412803532
agricultural engineer,it,increasing,moderate,98885.14,phd,6.0,88.68,54.51,brazil,54.58,1.48896293211162
public relations account executive,it,decreasing,moderate,80883.85,associate degree,13.0,33.11,83.05,germany,33.6,53.01459293394777
wellsite geologist,finance,decreasing,moderate,57761.89,phd,3.0,38.47,87.54,canada,59.89,4.4714564792706755
data scientist,retail,increasing,moderate,129681.98,bachelor's degree,20.0,86.49,34.02,brazil,62.43,-29.722482906555836
gaffer,manufacturing,decreasing,moderate,56472.94,associate degree,18.0,38.28,64.66,canada,49.9,51.29243226409218
hotel manager,manufacturing,increasing,moderate,71218.82,master's degree,14.0,28.28,86.85,brazil,73.53,-51.28436814250678
airline pilot,manufacturing,increasing,low,107951.32,master's degree,17.0,58.83,49.18,india,31.77,-75.87558168013715
commercial/residential surveyor,retail,decreasing,moderate,107227.03,bachelor's degree,18.0,47.24,21.48,brazil,66.35,38.997451146983856
equality and diversity officer,entertainment,increasing,low,83705.46,bachelor's degree,10.0,45.32,40.56,india,47.14,-26.690631318804765
curator,transportation,increasing,low,52957.12,associate degree,0.0,36.73,39.84,india,51.55,13.555471412343808
"engineer, aeronautical",finance,decreasing,low,130695.55,associate degree,7.0,66.65,98.4,china,53.57,298.29545454545456
meteorologist,manufacturing,decreasing,high,52724.86,master's degree,6.0,75.01,9.74,uk,66.69,-94.5173081057837
chartered management accountant,manufacturing,increasing,low,129147.39,phd,5.0,34.64,52.96,china,54.37,71.65960723912205
"education officer, environmental",retail,decreasing,moderate,129587.45,associate degree,12.0,67.38,1.67,usa,72.31,-1.9995790359924226
it sales professional,finance,increasing,moderate,125480.14,phd,8.0,57.71,13.92,germany,38.52,-16.267169404793965
historic buildings inspector/conservation officer,finance,decreasing,moderate,125590.51,high school,17.0,47.22,21.47,usa,70.09,-42.476515798462856
public relations account executive,entertainment,increasing,moderate,82547.16,associate degree,7.0,6.49,83.27,usa,69.68,-42.769320843091336
art gallery manager,entertainment,decreasing,moderate,126871.59,master's degree,9.0,36.91,46.44,australia,45.23,164.9399088271861
"scientist, biomedical",manufacturing,increasing,moderate,68836.35,bachelor's degree,4.0,82.49,41.61,australia,37.2,-68.55439642324889
"producer, television/film/video",retail,decreasing,low,109207.52,phd,9.0,95.32,12.86,australia,60.61,183.31849213416444
"administrator, local government",manufacturing,decreasing,high,43456.03,high school,15.0,18.19,55.36,usa,75.06,302.6444662095984
"teacher, primary school",it,decreasing,moderate,78732.58,bachelor's degree,14.0,56.16,92.38,india,77.44,241.37809187279152
chartered certified accountant,entertainment,decreasing,high,73436.6,master's degree,0.0,2.24,15.44,canada,38.62,237.76520509193776
administrator,retail,increasing,moderate,119966.56,associate degree,6.0,29.1,51.0,china,77.07,1.5687662184477469
"doctor, general practice",transportation,decreasing,moderate,94603.85,bachelor's degree,6.0,38.24,29.72,germany,42.65,3.9546290619251994
counselling psychologist,transportation,decreasing,high,104771.8,high school,9.0,36.99,38.2,uk,76.92,119.87577639751552
market researcher,transportation,increasing,high,114841.54,associate degree,14.0,4.25,33.34,usa,37.3,-56.6013283654625
chiropractor,retail,increasing,high,39063.23,master's degree,16.0,25.96,4.57,germany,29.78,-97.75561097256858
"radiographer, therapeutic",retail,decreasing,low,86569.34,high school,10.0,59.95,15.11,china,49.89,-64.57952958865857
"biochemist, clinical",retail,decreasing,moderate,104299.26,phd,11.0,5.18,41.73,canada,53.55,11.410459587955627
occupational therapist,it,decreasing,high,73136.88,high school,14.0,0.5,31.59,germany,31.24,-38.58499095840868
"horticulturist, commercial",transportation,decreasing,low,67537.22,associate degree,19.0,47.12,17.38,uk,74.47,131.65028803795323
"engineer, automotive",retail,increasing,high,140272.99,master's degree,15.0,9.91,21.75,usa,38.92,59.53300561797753
radio producer,healthcare,decreasing,high,123433.47,phd,14.0,76.56,5.91,usa,51.09,54.49390416784803
air traffic controller,finance,decreasing,moderate,127881.25,master's degree,4.0,64.74,46.75,germany,36.88,-24.30506058446187
herbalist,finance,decreasing,high,66537.94,phd,15.0,60.18,26.25,india,60.6,96.93969396939694
quality manager,entertainment,increasing,moderate,111471.03,bachelor's degree,12.0,79.24,81.1,brazil,75.58,3.7132876180618455
counsellor,transportation,increasing,low,71487.92,bachelor's degree,10.0,14.82,49.28,uk,43.93,173.58490566037736
chemical engineer,transportation,increasing,moderate,34613.69,high school,1.0,49.28,18.45,australia,46.87,-58.75706214689266
dance movement psychotherapist,healthcare,decreasing,moderate,120901.93,bachelor's degree,13.0,94.68,18.1,india,66.28,281.7687074829932
"psychologist, counselling",manufacturing,decreasing,low,65730.1,bachelor's degree,12.0,53.65,63.88,australia,74.73,-40.55415617128463
equality and diversity officer,education,decreasing,high,50159.9,master's degree,12.0,16.5,2.75,australia,33.44,-69.5945945945946
industrial buyer,manufacturing,increasing,low,122289.54,master's degree,9.0,81.25,47.53,uk,43.63,-23.158739715031107
"psychotherapist, dance movement",manufacturing,increasing,high,85082.22,high school,10.0,22.29,40.73,uk,56.22,23.601545439274314
dramatherapist,education,increasing,high,48126.56,associate degree,15.0,43.54,99.0,india,34.03,-83.75512171607616
toxicologist,healthcare,increasing,moderate,36377.59,associate degree,10.0,91.93,0.6,usa,58.78,48.679553498502585
dance movement psychotherapist,retail,increasing,low,137913.26,bachelor's degree,20.0,65.79,0.78,india,77.04,16.447120812946935
architectural technologist,transportation,increasing,low,147138.14,high school,18.0,38.59,55.79,australia,51.85,-7.13224368499257
neurosurgeon,retail,increasing,moderate,89725.32,high school,15.0,91.39,66.72,uk,29.59,209.73451327433628
personal assistant,transportation,decreasing,low,138064.2,bachelor's degree,0.0,89.26,88.71,china,39.83,136.55274888558694
tax inspector,finance,decreasing,high,46282.2,phd,20.0,76.14,44.56,brazil,38.59,68.4971098265896
landscape architect,education,increasing,moderate,75739.09,bachelor's degree,10.0,62.66,29.93,canada,68.5,-69.57794584044889
secondary school teacher,entertainment,decreasing,moderate,144650.96,phd,7.0,28.07,17.75,brazil,26.39,-33.842770753161076
politician's assistant,manufacturing,decreasing,moderate,98789.1,master's degree,14.0,65.98,72.76,uk,27.17,-83.84907709011944
licensed conveyancer,education,increasing,low,34425.78,associate degree,16.0,71.22,24.42,india,73.03,47.12205270457698
communications engineer,education,increasing,low,39118.08,master's degree,20.0,92.07,16.65,india,55.98,-62.25273103041039
museum/gallery exhibitions officer,manufacturing,decreasing,moderate,38527.61,phd,14.0,5.82,22.01,china,33.27,-23.856282079892882
mining engineer,manufacturing,decreasing,low,93509.42,master's degree,9.0,43.49,93.56,canada,25.7,-62.35043871310821
"conservation officer, nature",finance,decreasing,moderate,73955.87,phd,7.0,13.89,24.96,australia,70.52,2305.194805194805
actuary,transportation,decreasing,high,134836.62,master's degree,15.0,22.27,79.27,australia,58.99,7.455255012784281
press sub,finance,increasing,low,76813.18,phd,1.0,51.2,83.52,brazil,34.84,97.69921436588103
it sales professional,education,decreasing,low,88057.66,bachelor's degree,8.0,73.66,1.56,uk,59.07,-82.90868514041287
environmental manager,entertainment,increasing,low,69279.75,phd,9.0,3.23,4.38,canada,43.28,-69.7455230914232
astronomer,education,decreasing,moderate,52017.08,master's degree,1.0,9.49,2.04,germany,66.14,85.50420168067227
"therapist, speech and language",entertainment,decreasing,moderate,114579.27,bachelor's degree,14.0,28.62,36.46,china,54.09,511.9949494949495
"merchandiser, retail",it,decreasing,low,41347.6,high school,9.0,60.73,39.39,australia,37.79,392.149866190901
fish farm manager,healthcare,increasing,moderate,80304.85,high school,1.0,84.68,44.93,australia,43.22,-57.937262357414454
electronics engineer,finance,decreasing,low,82840.94,phd,20.0,37.97,84.06,brazil,55.66,-32.59684784209751
exhibition designer,education,decreasing,moderate,59730.52,phd,16.0,48.43,80.77,usa,24.49,185.134685733289
tefl teacher,entertainment,decreasing,high,76243.86,associate degree,19.0,20.28,77.53,canada,65.82,34.437086092715234
personnel officer,retail,decreasing,high,36607.87,master's degree,11.0,46.69,35.69,india,64.72,-75.3803941132452
product manager,retail,increasing,low,61411.52,associate degree,0.0,51.45,80.4,uk,66.81,154.47087776866283
"pharmacist, community",education,decreasing,high,79761.3,master's degree,19.0,0.09,7.42,brazil,57.08,-82.01208674013508
mining engineer,entertainment,increasing,low,130268.91,phd,16.0,79.1,96.28,australia,73.45,73.89019749954701
"teacher, secondary school",entertainment,increasing,low,121776.72,high school,11.0,40.07,55.16,uk,69.83,117.75559588626739
"psychologist, clinical",healthcare,increasing,moderate,98149.38,master's degree,15.0,60.15,32.58,china,43.79,549.7816593886463
armed forces training and education officer,it,increasing,high,59737.28,phd,1.0,54.97,19.51,germany,79.78,-78.68994686042728
agricultural engineer,manufacturing,decreasing,moderate,112747.75,high school,1.0,15.06,31.07,china,40.12,-17.816733067729086
orthoptist,it,decreasing,moderate,62386.4,high school,5.0,79.43,5.65,china,40.1,414.69057258530944
sports development officer,finance,increasing,high,82422.8,high school,19.0,37.44,6.95,brazil,53.66,-52.9535311105277
"radiographer, therapeutic",healthcare,decreasing,moderate,94388.32,bachelor's degree,2.0,67.97,35.48,canada,23.1,50.06226650062266
land/geomatics surveyor,finance,increasing,low,108483.36,high school,20.0,44.08,91.53,india,76.98,-87.87740164684354
insurance account manager,transportation,decreasing,moderate,77496.27,phd,2.0,11.23,64.22,brazil,74.57,650.8663366336633
futures trader,education,increasing,low,54799.4,high school,0.0,21.86,30.52,india,35.47,-12.817574021012415
clinical research associate,healthcare,decreasing,moderate,126589.37,bachelor's degree,0.0,33.6,20.94,usa,42.89,2113.4969325153374
intelligence analyst,retail,decreasing,moderate,84101.8,high school,2.0,82.19,9.89,australia,33.65,-96.53204565408254
forest/woodland manager,entertainment,increasing,moderate,37981.81,associate degree,13.0,89.63,91.16,brazil,68.11,67.54166666666667
quantity surveyor,finance,decreasing,moderate,97639.32,master's degree,7.0,12.93,62.09,canada,67.4,1056.3291139240507
intelligence analyst,transportation,decreasing,low,110443.5,master's degree,0.0,41.15,4.17,uk,24.31,-48.027045001108405
research scientist (maths),healthcare,decreasing,moderate,87060.91,master's degree,17.0,72.98,14.64,brazil,73.42,-83.1849774417754
general practice doctor,it,decreasing,moderate,137937.96,phd,17.0,23.41,3.88,uk,67.22,-18.458333333333332
"engineer, technical sales",it,increasing,low,118199.98,bachelor's degree,13.0,68.21,38.48,china,50.87,-60.95728697145311
chartered management accountant,finance,decreasing,moderate,91575.77,high school,8.0,72.42,71.18,australia,59.41,4.3117930339343715
"teacher, secondary school",retail,increasing,high,73374.22,high school,4.0,88.42,31.93,usa,22.47,-55.045334893243634
health visitor,finance,increasing,moderate,144210.2,bachelor's degree,6.0,73.9,53.54,uk,41.92,2.6881720430107525
"programme researcher, broadcasting/film/video",transportation,decreasing,moderate,50902.48,bachelor's degree,2.0,22.02,2.03,australia,27.07,-34.322594880847305
financial adviser,it,decreasing,high,132546.44,bachelor's degree,14.0,19.02,10.04,australia,33.43,40.23826890347678
museum/gallery curator,retail,decreasing,moderate,52410.2,bachelor's degree,17.0,79.31,40.39,usa,74.9,1051.3846153846155
"chemist, analytical",finance,decreasing,high,54964.83,bachelor's degree,5.0,54.78,45.46,uk,28.11,239.07542579075428
prison officer,education,increasing,moderate,113729.24,associate degree,16.0,40.74,28.95,germany,26.5,27.642553191489363
midwife,retail,decreasing,low,59391.76,high school,2.0,82.67,19.64,india,20.75,-84.3011811023622
"engineer, maintenance",manufacturing,increasing,low,119098.55,associate degree,1.0,87.04,89.43,usa,47.73,-50.27641277641277
chartered public finance accountant,manufacturing,increasing,low,127475.03,high school,17.0,24.28,77.94,india,64.47,3.699843668577384
prison officer,education,increasing,moderate,33583.35,phd,14.0,68.89,50.41,australia,42.24,509.1851851851852
product manager,entertainment,decreasing,high,57504.7,associate degree,14.0,22.7,55.36,brazil,40.83,45.19100105692285
estate agent,transportation,decreasing,low,78099.69,high school,13.0,17.67,15.29,usa,20.58,359.39617991374
oceanographer,finance,increasing,moderate,113717.55,master's degree,16.0,22.97,19.42,australia,49.93,63.841536614645854
"engineer, production",it,increasing,high,118568.24,associate degree,19.0,60.29,12.82,india,32.76,416.01731601731603
insurance risk surveyor,manufacturing,decreasing,low,147468.07,associate degree,12.0,63.1,34.61,germany,42.56,31.957295373665477
mudlogger,finance,decreasing,high,129621.02,phd,3.0,49.18,86.34,brazil,58.03,-35.42620936208245
contractor,entertainment,decreasing,moderate,116177.94,bachelor's degree,1.0,25.86,27.77,india,52.88,-51.88067444876784
"sound technician, broadcasting/film/video",education,increasing,low,46932.82,bachelor's degree,9.0,55.71,51.68,brazil,73.26,-91.62838768948095
"engineer, materials",education,increasing,moderate,31372.39,phd,13.0,95.56,86.13,uk,66.24,-23.4652496154384
"engineer, civil (contracting)",finance,increasing,high,126030.56,high school,16.0,10.28,45.75,india,67.3,51.391059706158174
it trainer,entertainment,decreasing,high,147403.69,high school,4.0,25.02,72.91,australia,73.3,0.39745627980922094
"exhibitions officer, museum/gallery",manufacturing,decreasing,low,34042.62,phd,2.0,40.34,40.17,australia,33.05,-86.739444533633
systems developer,manufacturing,decreasing,high,106750.43,high school,19.0,51.68,90.52,canada,56.28,-46.687429218573044
"teacher, special educational needs",transportation,increasing,low,39125.0,associate degree,16.0,64.43,75.56,brazil,43.01,-9.592233009708737
catering manager,retail,decreasing,moderate,122442.53,phd,11.0,16.94,66.38,australia,39.38,243.73229461756375
graphic designer,manufacturing,increasing,low,64049.24,master's degree,3.0,83.5,40.28,china,20.4,-38.45141890622064
agricultural engineer,finance,increasing,low,84487.17,master's degree,18.0,76.7,26.79,usa,61.94,-94.2910525223168
medical laboratory scientific officer,entertainment,increasing,moderate,112227.11,associate degree,16.0,97.04,64.08,uk,31.24,76.58171448939582
"journalist, newspaper",education,increasing,moderate,84739.41,high school,12.0,72.52,24.31,canada,38.72,-71.64218958611482
applications developer,healthcare,increasing,high,56239.87,master's degree,7.0,14.34,87.73,uk,63.37,-3.606557377049181
restaurant manager,manufacturing,decreasing,moderate,116910.82,phd,8.0,35.39,83.25,australia,68.27,157.64854614412135
network engineer,manufacturing,increasing,high,78347.57,phd,4.0,98.53,39.14,australia,62.25,-48.59762675296656
dance movement psychotherapist,retail,increasing,moderate,130409.63,bachelor's degree,17.0,75.81,33.97,usa,46.08,99.40638139995053
"designer, graphic",retail,decreasing,moderate,144849.83,master's degree,4.0,29.73,87.04,australia,39.01,88.9917967716327
counsellor,retail,increasing,low,149573.27,phd,2.0,57.56,15.95,australia,70.29,-25.37555826228177
human resources officer,education,decreasing,moderate,104322.66,associate degree,14.0,56.11,96.55,germany,31.44,130.3417328270625
outdoor activities/education manager,finance,increasing,moderate,33232.61,high school,14.0,25.11,60.96,usa,45.95,0.725231021172067
"merchandiser, retail",retail,decreasing,low,77679.39,bachelor's degree,2.0,65.77,85.65,usa,73.67,1794.2922374429222
research scientist (physical sciences),education,decreasing,low,91038.57,master's degree,17.0,78.1,92.33,uk,25.27,107.95454545454545
museum/gallery conservator,retail,decreasing,low,146233.37,master's degree,13.0,92.63,0.35,usa,72.35,-35.78555724674446
"scientist, clinical (histocompatibility and immunogenetics)",education,decreasing,moderate,89618.44,associate degree,13.0,56.1,0.02,india,55.94,-4.1743313994622895
web designer,entertainment,increasing,high,35110.18,bachelor's degree,14.0,36.03,19.13,australia,33.4,775.7931844888367
further education lecturer,entertainment,increasing,low,122000.96,master's degree,18.0,24.06,73.75,india,44.59,-31.72817994614288
"teacher, music",it,decreasing,low,32677.84,bachelor's degree,9.0,14.91,46.17,germany,46.24,-6.92141312184571
wellsite geologist,it,decreasing,moderate,45340.58,bachelor's degree,20.0,67.86,40.1,brazil,27.11,-59.7607129776584
charity fundraiser,manufacturing,increasing,high,93306.9,bachelor's degree,5.0,6.55,92.45,australia,30.52,71.09421884376876
"engineer, maintenance",transportation,increasing,high,112937.16,master's degree,0.0,84.59,38.28,uk,35.14,332.10719915922226
public house manager,retail,decreasing,high,80942.74,master's degree,4.0,27.08,29.58,india,62.43,-56.55290634252766
biomedical scientist,transportation,decreasing,moderate,132178.52,bachelor's degree,17.0,61.02,5.92,brazil,31.87,68.09350333940498
"geologist, wellsite",manufacturing,decreasing,high,129773.42,associate degree,15.0,72.03,91.77,usa,43.26,49.396485867074105
tree surgeon,it,decreasing,low,62190.6,bachelor's degree,20.0,30.09,92.22,india,26.58,435.10054844606947
"engineer, maintenance",healthcare,increasing,high,66819.71,phd,4.0,46.81,27.38,australia,36.98,32.95890410958904
"designer, multimedia",it,increasing,moderate,33651.58,bachelor's degree,9.0,9.62,87.66,canada,37.13,-96.10544217687075
television floor manager,finance,increasing,moderate,107439.0,master's degree,12.0,5.19,67.38,brazil,37.85,157.09470845972362
counselling psychologist,finance,decreasing,high,144062.19,phd,5.0,92.02,15.43,canada,65.85,82.80981067125646
careers adviser,manufacturing,increasing,high,92701.59,high school,0.0,40.81,76.43,canada,30.58,835.6731875719217
control and instrumentation engineer,entertainment,decreasing,low,41599.13,associate degree,19.0,10.75,52.37,germany,36.27,18.465608465608465
clinical research associate,retail,increasing,low,123317.54,phd,15.0,63.04,39.52,china,79.7,880.5139186295504
operational investment banker,education,decreasing,moderate,34456.53,phd,14.0,29.96,98.05,china,66.53,320.3166226912929
fisheries officer,education,increasing,moderate,111692.18,master's degree,7.0,74.08,35.95,canada,24.47,-63.748712667353246
chiropractor,it,increasing,high,137758.65,phd,7.0,18.96,53.11,usa,58.94,93.39847991313789
"engineer, civil (contracting)",manufacturing,increasing,moderate,97743.59,associate degree,9.0,53.82,30.29,china,41.27,-13.655030800821354
acupuncturist,retail,decreasing,low,111081.89,master's degree,12.0,53.12,98.86,germany,54.8,-52.11581291759465
cabin crew,healthcare,increasing,low,82806.01,bachelor's degree,5.0,4.42,19.27,australia,43.8,6468.571428571428
"nurse, adult",entertainment,increasing,low,135424.56,bachelor's degree,9.0,54.99,13.45,uk,41.48,-21.339401820546165
company secretary,education,increasing,moderate,133049.11,high school,8.0,7.08,71.04,usa,39.75,530.784123910939
advertising art director,manufacturing,decreasing,moderate,69621.93,bachelor's degree,20.0,65.38,57.06,germany,26.55,85.84051724137932
production engineer,transportation,increasing,high,107254.27,master's degree,19.0,72.99,57.28,china,44.68,-57.908799429996435
"designer, industrial/product",it,increasing,low,46572.49,phd,18.0,77.67,10.66,usa,50.53,239.55708285605192
"journalist, magazine",healthcare,increasing,moderate,126457.88,master's degree,6.0,2.28,55.98,usa,23.38,-69.23714759535655
theatre director,entertainment,increasing,moderate,82628.45,master's degree,7.0,54.0,17.82,india,41.83,826.3691683569979
health physicist,manufacturing,decreasing,moderate,123153.1,phd,9.0,81.28,17.3,uk,75.46,63.030643800955865
chief technology officer,finance,decreasing,low,133006.58,master's degree,20.0,49.8,66.74,germany,20.63,-10.27052348050123
"designer, multimedia",transportation,decreasing,low,117915.1,phd,16.0,46.32,52.24,germany,56.99,22.417896239885767
"surveyor, building",finance,increasing,high,33841.64,phd,1.0,11.22,62.97,uk,47.51,-77.18199193034614
"surveyor, planning and development",retail,increasing,low,80179.52,master's degree,2.0,94.76,48.95,uk,69.63,3.2369299221357064
herpetologist,manufacturing,decreasing,low,137364.07,high school,20.0,91.03,2.21,uk,48.31,1012.9133858267716
"engineer, drilling",education,decreasing,high,149384.58,master's degree,12.0,45.01,35.8,brazil,24.01,-21.548900327562002
"restaurant manager, fast food",entertainment,increasing,high,149210.87,high school,16.0,58.55,17.67,india,25.32,-30.794602698650674
herpetologist,education,increasing,moderate,37953.56,bachelor's degree,8.0,96.7,94.85,brazil,29.92,-6.802341789796487
chief operating officer,education,increasing,low,131650.86,bachelor's degree,3.0,65.29,66.69,usa,45.99,-14.987163029525034
intelligence analyst,education,increasing,moderate,83511.32,associate degree,18.0,36.33,24.35,usa,42.17,56.66131621187801
primary school teacher,retail,decreasing,low,135288.85,phd,12.0,77.32,50.16,germany,64.18,-62.63254956201014
insurance broker,healthcare,decreasing,low,46744.08,master's degree,7.0,94.93,96.57,brazil,31.97,-18.29284136676627
biomedical engineer,transportation,decreasing,high,68242.36,associate degree,20.0,55.49,21.1,india,50.84,133.6289726533629
"designer, interior/spatial",manufacturing,decreasing,moderate,129262.1,associate degree,4.0,75.95,13.97,india,20.41,-66.00257990540346
"radiographer, therapeutic",retail,increasing,low,100729.03,associate degree,3.0,16.51,15.38,uk,40.63,-86.22940940136601
cytogeneticist,entertainment,increasing,moderate,93049.19,master's degree,4.0,24.36,90.92,australia,32.94,-4.936985730653057
social worker,healthcare,increasing,high,36683.72,associate degree,2.0,84.59,67.24,brazil,33.29,61.96513470681458
operations geologist,entertainment,increasing,high,41186.8,bachelor's degree,8.0,88.42,35.67,usa,56.63,446.11080022383885
conference centre manager,education,increasing,moderate,44534.53,phd,19.0,6.1,77.37,india,61.0,1173.6698499317872
technical sales engineer,retail,decreasing,moderate,147088.78,bachelor's degree,12.0,27.47,88.2,australia,31.14,147.83728115345005
chief executive officer,healthcare,increasing,moderate,109250.68,bachelor's degree,20.0,71.91,42.26,brazil,47.43,85.23076923076923
"journalist, magazine",transportation,decreasing,moderate,145910.97,high school,2.0,3.29,88.09,uk,34.21,199.66937180643222
